id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
678,SMA NEGERI 2 SINGKAWANG,NEGERI,79123,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,304
679,SMA NEGERI 4 PURWOKERTO,NEGERI,53114,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,190
680,SMA NEGERI 3 NABIRE,NEGERI,98816,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,469
681,SMA KATOLIK 1 KABANJAHE,SWASTA,22113,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,52
682,SMA SANTA MARIA KABANJAHE,SWASTA,22111,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,52
683,SMK FARMASI YOGYAKARTA,SWASTA,55161,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
684,SMK NEGERI 1 GONDANG,NEGERI,57254,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,207
685,SMA NEGERI 2 SIBORONGBORONG,NEGERI,22474,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,30
686,SMA NEGERI 1 TEMINABUAN,NEGERI,98454,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,485
687,SMA NEGERI 3 SIBOLGA,NEGERI,22513,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,43
688,SMA KATOLIK TARUNA JAYA SAMPIT,SWASTA,74322,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,308
689,SMK NEGERI 8 SURAKARTA,NEGERI,57129,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,211
690,SMA NEGERI 99 JAKARTA,SWASTA,13720,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,157
691,SMA NEGERI 1 KARANGNONGKO,NEGERI,57483,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,204
692,SMK NEGERI 1 BINTUNI,NEGERI,98364,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,491
693,SMA NEGERI 2 KARANGANYAR,NEGERI,57716,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,196
694,SMA NEGERI 1 PANDAWAI,NEGERI,87171,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,288
695,SMK PGRI 2 BELITANG 3,SWASTA,32382,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,103
696,SMA NEGERI 3 KOTA SOLOK,NEGERI,27311,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,63
697,SMA KRISTEN SAUMLAKI,SWASTA,97464,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,431
698,SMA NEGERI 1 KIBANG,NEGERI,34335,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,131
699,SMK KESEHATAN ANIGOU NABIRE,SWASTA,98818,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,469
700,SEKOLAH TEKNIKPROFESIONAL,SWASTA,1,LUAR NEGERI,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,2
701,SMK KESEHATAN YALEKA MARO,SWASTA,99614,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,474
702,SMA NEGERI 4 KOTA MADIUN,NEGERI,63133,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,242
703,SMK NEGERI 3 MERAUKE,NEGERI,99615,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,474
704,SMA NEGERI 13 SURABAYA,NEGERI,60213,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,224
705,TAYLOR'S COLLEGE,SWASTA,1,LUAR NEGERI,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,2
706,SMA MUHAMMADIYAH 7 YOGYAKARTA,SWASTA,55252,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
707,SMA NEGERI 1 NGRAMBE,NEGERI,63263,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,244
